id,visningsnamn,varumarke,kategori,bild_url,taggar
hogrevsfars-farsk-18--500g-ica,Högrevsfärs Färsk 18% 500g ICA,ICA,Egna bakelser & kondisbitar,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/316c13d0-f1ce-4ce9-abca-3f67c587bbab/500x500.jpg,"ica,högrevsfärs färsk 18% 500g ica"
tortilla-original-large-742g-12-p-santa-maria,Tortilla Original Large 742g 12-p Santa Maria,Santa Maria,Egna bakelser & kondisbitar,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/58d3cd2f-5f97-428d-a4e9-3caa1f602f83/500x500.jpg,"santa maria,tortilla original large 742g 12-p santa maria"
hamburgerost-cheddarsmak-200g-ica,Hamburgerost cheddarsmak 200g ICA,ICA,Egna bakelser & kondisbitar,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ac669e9b-ac09-44ad-8404-d4a627afda65/500x500.jpg,"ica,hamburgerost cheddarsmak 200g ica"
proteinbar-proteinbar-pistage-45g-barebells,Proteinbar Proteinbar Pistage 45g Barebells,Barebells,Egna bakelser & kondisbitar,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/30bac862-8c48-41d3-8c5d-cd6eeba254da/500x500.jpg,"barebells,proteinbar proteinbar pistage 45g barebells"
batteri-aa-lr6-10-p-ica,Batteri AA/LR6 10-p ICA,ICA,Egna bakelser & kondisbitar,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/07c933ec-304a-4ea5-a1ee-d2b0f8b73c02/500x500.jpg,"ica,batteri aa/lr6 10-p ica"
easybake-chokladbiskvi-2-p-100g-easy-bake,Easybake Chokladbiskvi 2-p 100g Easy bake,Easybake,Egna bakelser & kondisbitar,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/0f21886d-02cd-4d46-88ea-f2ae3e37c98c/500x500.jpg,"easybake,chokladbiskvi 2-p 100g easy bake"
banan-eko-i-klase-klass-1-ica,Banan Eko i klase Klass 1 ICA,,Banan,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/2e73467c-cb62-420a-b208-8271d87d0c08/500x500.jpg,banan eko i klase klass 1 ica
banan-i-klase-ca-1kg-klass-1-ica,Banan i klase ca 1kg Klass 1 ICA,,Banan,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/013db87c-63d9-4bf4-a432-c70f955712e2/500x500.jpg,banan i klase ca 1kg klass 1 ica
fruktpase-banan-5kg,Fruktpåse Banan 5kg,,Banan,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/013db87c-63d9-4bf4-a432-c70f955712e2/500x500.jpg,fruktpåse banan 5kg
fruktpase-banan-ekologisk-5kg,Fruktpåse Banan Ekologisk 5kg,,Banan,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/2e73467c-cb62-420a-b208-8271d87d0c08/500x500.jpg,fruktpåse banan ekologisk 5kg
apple-merpack-1kg-klass-2-ica,Äpple Merpack 1kg Klass 2 ICA,ICA,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/6a7a5fe6-57cc-4ec5-acd5-a39b617433f0/500x500.jpg,"ica,äpple merpack 1kg klass 2 ica"
apple-pink-lady-4-pack-klass-1-ica,Äpple Pink Lady 4-pack Klass 1 ICA,,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/4d3bd0e8-992d-4f0b-9fa5-bb9bf7a31dd6/500x500.jpg,äpple pink lady 4-pack klass 1 ica
apple-royal-gala-4-pack-klass-1-ica,Äpple Royal Gala 4-pack Klass 1 ICA,ICA,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/1602f11a-8a67-4ce3-9846-f3060fb1539a/500x500.jpg,"ica,äpple royal gala 4-pack klass 1 ica"
apple-granny-smith-4-pack-klass-1-ica,Äpple Granny Smith 4-pack Klass 1 ICA,ICA,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/256b9cdf-80f6-4a04-8883-ead3d34e07a4/500x500.jpg,"ica,äpple granny smith 4-pack klass 1 ica"
apple-ingrid-4-pack-klass-2-ica,Äpple Ingrid 4-pack Klass 2 ICA,ICA,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/75e53597-c206-4014-8754-b06d614d3f7e/500x500.jpg,"ica,äpple ingrid 4-pack klass 2 ica"
ica-i-love-eco-apple-royal-gala-eko-4-pack-klass-1-ica,ICA I love eco Äpple Royal Gala Eko 4-pack Klass 1 ICA,ICA I love eco,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/accc1b99-15ce-4024-811f-a5f582a05a84/500x500.jpg,"ica i love eco,äpple royal gala eko 4-pack klass 1 ica"
apple-rubinola-4-pack-klass-1-ica,Äpple Rubinola 4-pack Klass 1 ICA,ICA,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ee111b35-40e9-4326-9aec-518d89c3e77d/500x500.jpg,"ica,äpple rubinola 4-pack klass 1 ica"
apple-frida-4-pack-klass-2-ica,Äpple Frida 4-pack Klass 2 ICA,ICA,Äpple,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/d21f8828-2186-440b-ad3d-504148144acb/500x500.jpg,"ica,äpple frida 4-pack klass 2 ica"
